scenario,cache_state,sql_limit,archetype,score
monetary,cold,6000,computeToData-cached,0.100557
monetary,warm,9000,dataThroughTtp-cached,0.930481
monetary,warm,9000,dataThroughTtp-compressed,0.553281
monetary,warm,9000,dataThroughTtp,0.552600
monetary,warm,9000,computeToData-cached,0.448148
monetary,warm,9000,computeToData-compressed,0.108893
monetary,warm,9000,computeToData,0.105562
monetary,cold,9000,dataThroughTtp-compressed,0.873555
monetary,cold,9000,dataThroughTtp,0.871516
monetary,cold,9000,dataThroughTtp-cached,0.871516
monetary,cold,9000,computeToData-compressed,0.129518
monetary,cold,9000,computeToData,0.125976
monetary,cold,9000,computeToData-cached,0.125976
monetary,warm,12000,dataThroughTtp-cached,0.934593
monetary,warm,12000,dataThroughTtp-compressed,0.514103
monetary,warm,12000,dataThroughTtp,0.513115
monetary,warm,12000,computeToData-cached,0.487580
monetary,warm,12000,computeToData-compressed,0.133402
monetary,warm,12000,computeToData,0.126925
monetary,cold,12000,dataThroughTtp-compressed,0.841077
monetary,cold,12000,dataThroughTtp,0.838067
monetary,cold,12000,dataThroughTtp-cached,0.838067
monetary,cold,12000,computeToData-compressed,0.163248
monetary,cold,12000,computeToData,0.156346
monetary,cold,12000,computeToData-cached,0.156346
monetary,warm,15000,dataThroughTtp-cached,0.938508
monetary,warm,15000,computeToData-cached,0.522023
monetary,warm,15000,dataThroughTtp-compressed,0.479824
monetary,warm,15000,dataThroughTtp,0.478619
monetary,warm,15000,computeToData-compressed,0.156524
monetary,warm,15000,computeToData,0.147166
monetary,cold,15000,dataThroughTtp-compressed,0.808317
monetary,cold,15000,dataThroughTtp,0.804423
monetary,cold,15000,dataThroughTtp-cached,0.804423
monetary,cold,15000,computeToData-compressed,0.196978
monetary,cold,15000,computeToData,0.187051
monetary,cold,15000,computeToData-cached,0.187051
monetary,warm,18000,dataThroughTtp-cached,0.942150
monetary,warm,18000,computeToData-cached,0.552287
monetary,warm,18000,dataThroughTtp-compressed,0.449665
monetary,warm,18000,dataThroughTtp,0.448305
monetary,warm,18000,computeToData-compressed,0.176974
monetary,warm,18000,computeToData,0.165121
monetary,cold,18000,dataThroughTtp-compressed,0.777148
monetary,cold,18000,dataThroughTtp,0.772481
monetary,cold,18000,dataThroughTtp-cached,0.772481
monetary,cold,18000,computeToData-compressed,0.228924
monetary,cold,18000,computeToData,0.216449
monetary,cold,18000,computeToData-cached,0.216449
monetary,warm,21000,dataThroughTtp-cached,0.945490
monetary,warm,21000,computeToData-cached,0.579047
monetary,warm,21000,dataThroughTtp-compressed,0.422970
monetary,warm,21000,dataThroughTtp,0.421501
monetary,warm,21000,computeToData-compressed,0.194608
monetary,warm,21000,computeToData,0.180619
monetary,cold,21000,dataThroughTtp-compressed,0.748098
monetary,cold,21000,dataThroughTtp,0.742762
monetary,cold,21000,dataThroughTtp-cached,0.742762
monetary,cold,21000,computeToData-compressed,0.258614
monetary,cold,21000,computeToData,0.244026
monetary,cold,21000,computeToData-cached,0.244026
monetary,warm,24000,dataThroughTtp-cached,0.948525
monetary,warm,24000,computeToData-cached,0.602854
monetary,warm,24000,dataThroughTtp-compressed,0.399200
monetary,warm,24000,dataThroughTtp,0.397654
monetary,warm,24000,computeToData-compressed,0.209636
monetary,warm,24000,computeToData,0.193821
monetary,cold,24000,dataThroughTtp-compressed,0.721230
monetary,cold,24000,dataThroughTtp,0.715310
monetary,cold,24000,dataThroughTtp-cached,0.715310
monetary,cold,24000,computeToData-compressed,0.286022
monetary,cold,24000,computeToData,0.269690
monetary,cold,24000,computeToData-cached,0.269690
monetary,warm,27000,dataThroughTtp-cached,0.951270
monetary,warm,27000,computeToData-cached,0.624159
monetary,warm,27000,dataThroughTtp-compressed,0.377915
monetary,warm,27000,dataThroughTtp,0.376315
monetary,warm,27000,computeToData-compressed,0.222362
monetary,warm,27000,computeToData,0.204986
monetary,cold,27000,dataThroughTtp-compressed,0.696436
monetary,cold,27000,dataThroughTtp,0.690001
monetary,cold,27000,dataThroughTtp-cached,0.690001
monetary,cold,27000,computeToData-compressed,0.311281
monetary,cold,27000,computeToData,0.293508
monetary,cold,27000,computeToData-cached,0.293508
monetary,warm,30000,dataThroughTtp-cached,0.953746
monetary,warm,30000,computeToData-cached,0.643326
