sql_limit,varied,weight,archetype,score
10000,privacy,0.200000,dataThroughTtp-compressed,0.143906
10000,privacy,0.200000,dataThroughTtp,0.143418
10000,privacy,0.250000,dataThroughTtp-cached,0.899466
10000,privacy,0.250000,computeToData-cached,0.857321
10000,privacy,0.250000,computeToData-compressed,0.181706
10000,privacy,0.250000,computeToData,0.174361
10000,privacy,0.250000,dataThroughTtp-compressed,0.143570
10000,privacy,0.250000,dataThroughTtp,0.143085
10000,privacy,0.300000,dataThroughTtp-cached,0.874550
10000,privacy,0.300000,computeToData-cached,0.857810
10000,privacy,0.300000,computeToData-compressed,0.197058
10000,privacy,0.300000,computeToData,0.190365
10000,privacy,0.300000,dataThroughTtp-compressed,0.143072
10000,privacy,0.300000,dataThroughTtp,0.142592
10000,privacy,0.350000,computeToData-cached,0.858517
10000,privacy,0.350000,dataThroughTtp-cached,0.847426
10000,privacy,0.350000,computeToData-compressed,0.216359
10000,privacy,0.350000,computeToData,0.210316
10000,privacy,0.350000,dataThroughTtp-compressed,0.142353
10000,privacy,0.350000,dataThroughTtp,0.141879
10000,privacy,0.400000,computeToData-cached,0.859525
10000,privacy,0.400000,dataThroughTtp-cached,0.817812
10000,privacy,0.400000,computeToData-compressed,0.239783
10000,privacy,0.400000,computeToData,0.234348
10000,privacy,0.400000,dataThroughTtp-compressed,0.141328
10000,privacy,0.400000,dataThroughTtp,0.140863
10000,privacy,0.450000,computeToData-cached,0.860953
10000,privacy,0.450000,dataThroughTtp-cached,0.785361
10000,privacy,0.450000,computeToData-compressed,0.267493
10000,privacy,0.450000,computeToData,0.262594
10000,privacy,0.450000,dataThroughTtp-compressed,0.139876
10000,privacy,0.450000,dataThroughTtp,0.139424
10000,privacy,0.500000,computeToData-cached,0.862970
10000,privacy,0.500000,dataThroughTtp-cached,0.749654
10000,privacy,0.500000,computeToData-compressed,0.299680
10000,privacy,0.500000,computeToData,0.295236
10000,privacy,0.500000,dataThroughTtp-compressed,0.137826
10000,privacy,0.500000,dataThroughTtp,0.137391
10000,privacy,0.550000,computeToData-cached,0.865819
10000,privacy,0.550000,dataThroughTtp-cached,0.710181
10000,privacy,0.550000,computeToData-compressed,0.336605
10000,privacy,0.550000,computeToData,0.332534
10000,privacy,0.550000,dataThroughTtp-compressed,0.134932
10000,privacy,0.550000,dataThroughTtp,0.134522
10000,privacy,0.600000,computeToData-cached,0.869840
10000,privacy,0.600000,dataThroughTtp-cached,0.666319
10000,privacy,0.600000,computeToData-compressed,0.378623
10000,privacy,0.600000,computeToData,0.374855
10000,privacy,0.600000,dataThroughTtp-compressed,0.130851
10000,privacy,0.600000,dataThroughTtp,0.130472
10000,privacy,0.650000,computeToData-cached,0.875506
10000,privacy,0.650000,dataThroughTtp-cached,0.617297
10000,privacy,0.650000,computeToData-compressed,0.426214
10000,privacy,0.650000,computeToData,0.422697
10000,privacy,0.650000,dataThroughTtp-compressed,0.125106
10000,privacy,0.650000,dataThroughTtp,0.124769
10000,privacy,0.700000,computeToData-cached,0.883434
10000,privacy,0.700000,dataThroughTtp-cached,0.562148
10000,privacy,0.700000,computeToData-compressed,0.480011
10000,privacy,0.700000,computeToData,0.476717
10000,privacy,0.700000,dataThroughTtp-compressed,0.117080
10000,privacy,0.700000,dataThroughTtp,0.116796
10000,privacy,0.750000,computeToData-cached,0.894351
10000,privacy,0.750000,computeToData-compressed,0.540836
10000,privacy,0.750000,computeToData,0.537765
10000,privacy,0.750000,dataThroughTtp-cached,0.499652
10000,privacy,0.750000,dataThroughTtp-compressed,0.106049
10000,privacy,0.750000,dataThroughTtp,0.105825
